Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=57dead75c6dee2c1,글로벌 소셜카지노 서비스 해외사업 담당자 (경력),네오위즈 대한민국,있는 분 우대사항 - 소셜 카지노 장르를 비롯해 카지노 산업 전반 대한 높은 이해도를 갖춘 분 - R과 Python 등을 활용해 통계 분석을 할 수 있는 분 - 우수한 영어 활용 능력과 글로벌 비즈니스 관련 경험이 있는 분...
https://kr.indeed.com/viewjob?jk=27ea6faf6a8516fd,퀀트 개발자 (Quant Developer),ATZ Inc. 서울,any... following languages. (C/C++/C#/ Python/Java/Node.js)* Experience with R... languages) C/C++/C#/ Python/Java R/Excel...
https://kr.indeed.com/viewjob?jk=6373005ce9ee17b0,cloud/saas개발,Success Korea 서울,"발업무 경력 3년이상 -Node.js(java-script), SpringBoot(Java), Django( Python) 실무 경험 1년 이상 (최소 1개 이상) -RDB(Oracle, MySQL, Postgres 1개 이상..."
https://kr.indeed.com/viewjob?jk=4703aab992909e94,머신러닝 엔지니어 (5년이상),Success Korea 서울,"경력 5년 이상 - 업무내용 : IDC or Cloud 환경에서 AI 서비스 설계/운영 필수사항 : - Python 중급 이상 - PyTorch, Tensorflow, Keras 중 1개 이상 사용 가능 - AI 관련 지식..."
https://kr.indeed.com/viewjob?jk=a72ab5e8773b9ad8,빅데이터 개발(3년이상 경력),에이치알 코리아 서울,"자격 - JAVA/ Python/Scala 등 활용한 데이터분석/설계/개발 역량 - DB 설계/개발 역량 - 빅데이터(Hadoop Eco) 기반 DW/DM Architecture 수립 경험 보유자 - Python, Hadoop..."
https://kr.indeed.com/viewjob?jk=74c4f418a78c820f,데이터 전문가,Success Korea 서울 삼성동,"경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - 컴퓨터 사이언스 또는 통계 관련 박사학위자 우대... 능숙하게 사용(R, Scala, Python, Java) - 컴퓨터 사이언..."
https://kr.indeed.com/viewjob?jk=eebd2d2b2254371f,HANA Test Engineer,SAP 4.3 서울,"bugs Knowledge/Experience in Git or other version control, Python or other script language, SQL Knowledge/Experience in C++..."
https://kr.indeed.com/viewjob?jk=69ea511dcdc4d5e2,[ASAP] Clock SW 개발자,Success Korea 성남 판교역,"Switch ), Linux 5년 이상의 실무 경험 필수 - C언어 가능자 (5년 이상, C++, Python 도 선호) - Clock Protocol 운용 경험자 우대 5년 이상 IEEE1588 PTP / 802..."
https://kr.indeed.com/viewjob?jk=60097047695d7c71,Text 분석,Success Korea 서울,경력 9년 이상 - R， Python 등을 활용한 Text Crawling... 력서 자격요건 - 관련 분야 경력 9년 이상 - R， Python 등을 활용한 Text Crawling， Parsing， Visualization...
https://kr.indeed.com/viewjob?jk=8ca5db390266dbf6,Quant 트레이딩 부문(마감),벨에포크자산운용 서울 신사동,"거시경제 데이터 관리 3. 지원자격 및 우대사항 (1)필수사항 -투자자산운용사 보유, Python, 엑셀 VBA 사용 능력자 ( Python 패키지 : Scikit-learn, Keras, Tensorflow 활용가능) (엑셀..."
https://kr.indeed.com/viewjob?jk=d24722707c9aed56,빅데이터수집/처리,Success Korea 경기도 성남,"자격요건] - Java, Scala, Python 사용 가능한 분(택1... 첨부 양식을 반드시 사용) 자격요건 - Java, Scala, Python 사용 가능한 분(택1) - 데이터베이스, 네트워크, 분산처리에 대한..."
https://kr.indeed.com/viewjob?jk=18647b6687b43e04,게임서버 개발,Success Korea 성남 분당구,"및 배포 시스템 구축과 개선 [자격요건] - Javascript, Python, C# 등을 사용하여 API 서버 개발, 설계가 가능하신 분 (API... 격요건 - Javascript, Python, C# 등을 사용하여 API..."
https://kr.indeed.com/viewjob?jk=633275d4c482a753,IT 데이터 분석 전문가,Success Korea 서울,"광고 Targeting 알고리즘 설계 경험자 우대 - JAVA, Python, Hadoop, hive, pig, R 등 관련 지식/경험 보유자 우대... 경험자 우대 - JAVA, Python, Hadoop, hive, pig..."
https://kr.indeed.com/viewjob?jk=5e6a30865a5ba13e,서버개발자,Success Korea 성남 판교역,"유자 - 경력 : 서버 개발경력 5년이상 - Html, JSP, PHP, Python, Javascript, Node.js 등 개발언어 능숙 - 각종... Html, JSP, PHP, Python, Javascript, Node..."
https://kr.indeed.com/viewjob?jk=a979e53aa387868c,보안개발자(ASAP),Success Korea 서울 삼성동,"요건] - 보안 취약점 점검 관련 경력 5년이상 - Java, PHP, Python 등의 언어(택1)로 자동화프로그램 개발 가능한 분 - IT인프라에... 5년이상 - Java, PHP, Python 등의 언어(택1)로 자동화프로..."
https://kr.indeed.com/viewjob?jk=89d3bffd37a2487a,빅데이터 플랫폼 운영 및 분석구현,Success Korea 서울,"데이터 분석, 또는 데이터 엔지니어링 경력 5년 이상 - JAVA, Python, SQL 중 두 개 이상의 개발 언어에 대한 높은 이해 [전형절차... 경력 5년 이상 - JAVA, Python, SQL 중 두 개 이상의 개발..."
https://kr.indeed.com/viewjob?jk=736c75e6528f5bb4,보안 엔지니어,Success Korea 성남 분당구,"코드 리뷰 가능하신 분 - 보안 기술 연구 가능하신 분 - Java, Python 등 개발 언어 사용에 익숙하신 분 - 주체적으로 일을 진행하고 리드... 연구 가능하신 분 - Java, Python 등 개발 언어 사용에 익숙하신..."
https://kr.indeed.com/viewjob?jk=c4e7809eb035c7ee,웹개발팀장,Success Korea 서울 잠실역,"이스, 카산드라등) 경험자 우대 - TDD 및 스크립트 언어(Ruby, Python, Javascript) 경험자 우대 [전형절차] 실무면접(테크면... 및 스크립트 언어(Ruby, Python, Javascript) 경험자..."
https://kr.indeed.com/viewjob?jk=521e6790bfc52607,제어 엔지니어,Success Korea 성남 중원구,"중국어 등) - 언어 개발 가능자 (Visual Basic, C#, Python) - 모터 튜닝 가능자 [전형절차] 1차 면접, 2차면접... Visual Basic, C#, Python) - 모터 튜닝 가능자..."
https://kr.indeed.com/viewjob?jk=8cf3625826afa063,Data Mining 개발(3년이상 경력),에이치알 코리아 서울,"루션 지원자격 - 데이터 분석 역량 - 정형/비정형 데이터 마이닝 개발 역량 - 자연어 처리/ 검색엔진 개발 역량 보유자 우대 - 영상 마이닝 개발 경험 보유 우대 - Python, Hadoop, Spark 개발경험자 우대"
https://kr.indeed.com/viewjob?jk=bbf36187bf5002f0,서비스 개발 및 관리,Success Korea 서울,경력 1년 이상 - PHP/ Python 등 웹프로그래밍 경력자 - APM... 출서류] 이력서 경력기술서 자격요건 - 경력 1년 이상 - PHP/ Python 등 웹프로그래밍 경력자 - APM 환경에서 시스템 구축의 전반에 대한...
https://kr.indeed.com/viewjob?jk=145e4220a8244c4e,Machine Learning Engineer (추천엔지니어),Success Korea 서울,"5년 이상 (딥러닝 관련 업무수행 2년이상 필수) 필수사항 : - Python 중급 이상 - PyTorch, Tensorflow 중 1개 이상 사용... 2년이상 필수) 필수사항 : - Python 중급 이상 - PyTorch..."
https://kr.indeed.com/viewjob?jk=5548391bead30e27,Sr.Backend Developer(Fintech),Success Korea 서울,SQL 작성 및 대용량 데이터베이스 모델링 -Fintech 분야에 대한 기술 리더십과 열정 [우대사항] - Python 개발 경험 -대용량 배치 개발 및 ORM 활용 능력 -Java spring cloud 시리즈(data...
https://kr.indeed.com/viewjob?jk=9681ee519a4f870e,게임밸런스 (게임 시뮬레이터),Success Korea 성남 분당구,프로그램 개발 경력 3년 이상이신 분 (언어 불문) -Scala 혹은 Python 등 새로운 언어의 학습 의지가 있으신 분 -숫자에 대한 감각이 있으... 언어 불문) -Scala 혹은 Python 등 새로운 언어의 학습 의지가...
